Price(Float),Area(In Sq.Feet),Road,Face,Floors,Bedroom,Bathroom,Address,City
46500000,1471.675,13,West,3,6,6,Hepali Height,Kathmandu
35000000,855.625,13,South East,3,3,2,Sanepa,Lalitpur
73500000,3114.475,13,South East,3.5,4,3,Manamaiju,Kathmandu
23000000,1026.75,13,South East,2.5,5,3,Greenhill City,Kathmandu
39000000,2053.5,14,South West,2.5,6,6,Budhanilkantha,Kathmandu
35000000,1369,18,South East,3,7,4,Sainbu,Lalitpur
16000000,752.95,12,East,2.5,5,3,Thali,Kathmandu
28000000,1129.425,13,West,3,5,5,Balkot,Bhaktapur
40000000,1369,16,West,3,10,4,Budhanilkantha,Kathmandu
19000000,1369,5,South,2.5,4,3,Bhaisepati,Lalitpur
55500000,2121.95,20,South,3.5,6,6,Pepsicola,Kathmandu
85000000,2053.5,12,South East,4,8,6,Bijulibajar,Kathmandu
33800000,1095.2,13,East,2.5,4,3,Sundarbasti,Kathmandu
26000000,1095.2,13,East,2.5,5,3,Harisiddhi,Lalitpur
32500000,1095.2,18,East,3.5,6,3,Ghattekulo,Kathmandu
45000000,1745.475,13,South West,3,7,6,Bhangal,Kathmandu
27500000,1095.2,10,West,2.5,6,4,Baluwakhani,Kathmandu
25000000,1711.25,16,East,2.5,4,3,Syuchatar,Kathmandu
32000000,1369,13,South East,2.5,5,4,Kapan,Kathmandu
39000000,1369,26,West,2.5,4,3,Khusibu Town Planning,Kathmandu
46000000,2395.75,13,South East,2.5,6,5,Nakhipot,Lalitpur
49500000,2806.45,12,South East,3.5,8,7,Sitapaila,Kathmandu
28000000,1711.25,13,South,3.5,8,4,Pasikot,Kathmandu
12500000,684.5,12,South West,2.5,4,3,Kapan,Kathmandu
21500000,787.175,13,East,3,3,3,Imadol,Lalitpur
21500000,1026.75,12,South East,3,4,3,Baluwakhani,Kathmandu
60000000,3490.95,13,South West,3.5,5,4,Mahadevtar,Kathmandu
38000000,1437.45,13,North East,2.5,7,4,Sampang Chowk,Lalitpur
29000000,1369,13,South East,2.5,5,4,Balambu,Kathmandu
58000000,2053.5,20,North,3.5,8,3,Ganesh Chowk,Kathmandu
42500000,1711.25,20,South,3,7,3,Bhaisepati,Lalitpur
27500000,1129.425,12,South East,3,8,3,Makalbari,Kathmandu
50000000,2053.5,20,South,2.5,3,3,Thaiba,Lalitpur
42500000,1369,14,South,2.5,3,3,Imadol,Lalitpur
56500000,1403.225,20,North,2.5,4,5,Tahachal,Kathmandu
31000000,1403.225,13,East,2.5,4,3,Lasuntar,Kathmandu
45000000,2395.75,16,South,2.5,4,3,Imadol,Lalitpur
22000000,1026.75,13,South,2.5,5,4,Lubhu,Lalitpur
85000000,3182.925,12,South,2.5,6,5,Thecho,Lalitpur
20000000,855.625,13,East,2.5,4,3,Nakhipot,Lalitpur
23000000,1369,27,North,3.5,4,4,Hattiban,Lalitpur
55000000,1369,13,West,2.5,3,3,Naxal,Kathmandu
36000000,4107,20,East,2.5,7,7,Dhaksi,Kathmandu
37000000,1095.2,14,North East,2.5,4,3,Bafal,Kathmandu
34000000,1369,13,East,3,6,4,Banasthali,Kathmandu
57500000,3080.25,12,South,2.5,4,3,Budhanilkantha,Kathmandu
120000000,4107,16,North,1.5,3,2,Chabahil,Kathmandu
22000000,1711.25,10,West,2.5,6,3,Thankot,Kathmandu
23000000,787.175,13,South,2.5,5,5,Sampang Chowk,Lalitpur
16800000,376.475,20,East,3.5,3,3,New Baneshwor,Kathmandu
22000000,1711.25,10,South,2.5,6,3,Mahadevsthan,Kathmandu
31000000,1300.55,13,East,2.5,5,3,Pasikot,Kathmandu
21000000,1026.75,10,South,2.5,5,3,Gothatar,Kathmandu
19500000,1369,13,South,2.5,5,4,Imadol,Lalitpur
85000000,2498.425,17,North East,2.5,5,4,Sainbu,Lalitpur
23000000,1026.75,27,West,2,3,2,Saraswotinagar,Kathmandu
32500000,1369,13,North,2.5,5,5,Thecho,Lalitpur
26000000,1369,10,South,2.5,4,3,Thecho,Lalitpur
29500000,1095.2,13,North,2.5,8,3,Imadol,Lalitpur
22500000,1026.75,13,East,2.5,4,3,Bhelpa,Lalitpur
68000000,2806.45,14,East,2.5,6,3,Baluwatar,Kathmandu
22000000,1026.75,13,South East,2.5,6,5,Tikathali,Lalitpur
25000000,1095.2,13,East,2.5,6,3,Hattidanda,Kathmandu
36500000,1745.475,14,North East,2.5,5,3,Sainbu,Lalitpur
54900000,2395.75,13,North East,2,5,5,Golfutar,Kathmandu
67500000,2395.75,26,East,2.5,5,4,Mid Baneshwor,Kathmandu
55000000,1779.7,15,North East,2.5,5,5,Hepali Height,Kathmandu
22000000,1129.425,13,South East,2.5,4,3,Thulo Bharyang,Kathmandu
33000000,1095.2,20,South,2.5,6,4,Nakhipot,Lalitpur
29500000,1437.45,13,North West,2.5,4,4,Satungal,Kathmandu
39900000,1163.65,16,North West,2.5,6,3,Imadol,Lalitpur
55000000,2395.75,20,South,3,5,5,Hattiban,Lalitpur
27500000,1060.975,20,South,2.5,7,5,Imadol,Lalitpur
32000000,1060.975,13,North,2.5,5,6,Bhangal,Kathmandu
35000000,1711.25,20,West,2.5,5,4,Naya Basti,Kathmandu
34500000,1369,13,West,2.5,6,5,Budhanilkantha,Kathmandu
12000000,1026.75,12,North East,1.5,2,2,Matatirtha,Kathmandu
24500000,1129.425,13,West,2.5,3,3,Budhanilkantha,Kathmandu
21000000,1026.75,13,South East,3,7,3,Satungal,Kathmandu
39000000,1095.2,12,East,3.5,6,3,Kapan,Kathmandu
45000000,3125,14,West,2.5,5,5,Bhaisepati,Lalitpur
100000000,3422.5,16,South,2.5,4,3,Kupandole,Lalitpur
31000000,1026.75,13,East,2.5,6,4,Ekatabasti,Kathmandu
23500000,752.95,13,South East,2.5,3,3,Sitapaila,Kathmandu
47000000,1471.675,13,South,3,5,4,Balkumari,Lalitpur
30500000,1437.45,13,South,2.5,5,4,Birendra Chowk,Kathmandu
36000000,1403.225,13,South West,2.5,4,5,Nakkhu,Lalitpur
25000000,1060.975,14,South East,2.5,2,3,Imadol,Lalitpur
22000000,1129.425,13,South East,2.5,5,3,Gairi Gaun,Kathmandu
22000000,1060.975,12,East,2.5,5,3,Dhalmal,Kathmandu
