price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA
"Rs. 40,000 (Negotiable)
(Forty thousand )",0-4-0-0,1200 SQUARE FEET,,3,1,1,2,2,"THAIBA, LALITPUR, NEPAL",20 FEET,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10308,5 MONTHS AGO,104,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-thaiba-10308,,,,
"Rs. 32,00,000 (Negotiable)
(32 lakh per aana)",0-4-0-0,,,,,,,,"NEAR MAKALU PETROL PUMP, KATHMANDU, NEPAL",10 FT,NORTH,LAND (RESIDENTIAL),NONE,GB05398,5 YEARS AGO,6575,,https://www.gharbazar.com/property/details/land-at-kalanki-5398,150M,50,,
"Rs. 7,00,000 (Negotiable)",999 SQUARE FEET,,,,,,,,"GYANESWOR, KATHMANDU, NEPAL",30 FT,NONE,OFFICE SPACE (COMMERCIAL),PILLAR SYSTEM,GB10444,4 MONTHS AGO,48,FULLY FURNISHED,https://www.gharbazar.com/property/details/office-space-at-gyaneswor-10444,,,,
"Rs. 2,30,00,000 (Negotiable)
(Two crore thirty lakh )",0-4-2-2,2100 SQUARE FEET,,6,2,2,3,2.5,"NAYABASTI, IMADOL, LALITPUR, NEPAL",14/20 FEET,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07393,3 YEARS AGO,8932,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-7393,400M,,,
"Rs. 28,00,000 (Negotiable)",0-4-0-0,,,,,,,,"KITINI, GODAWARI, KATHMANDU, NEPAL",13FT / 20FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10605,1 MONTH AGO,65,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-kitini-godawari-10605,,500METERS,,
"Rs. 1,25,000 / month (Negotiable)
(One lakh twenty five thousand )",0-10-0-0,0-4-0-0,,,,,,,"GOLFUTAR, KATHMANDU, NEPAL",13FT,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10313,5 MONTHS AGO,64,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-golfutar-10313,,,,
"Rs. 3,40,00,000 (Negotiable)
(Three crore forty lakh )",0-3-2-0,0-3-2-0,,6,2,2,,3,"IMADOL LALITPUR, LALITPUR, NEPAL",13 FEET,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10390,4 MONTHS AGO,79,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-imadol-lalitpur-10390,,13,,
"Rs. 5,35,00,000 (Negotiable)
(Five crore thirty five lakh )",0-7-1-0,0-7-1-0,,7,3,2,,3.5,"BUDHANILKANTHA, KATHMANDU, NEPAL",24/13 FEET,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09986,8 MONTHS AGO,139,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilkantha-9986,,NEARBY SIDDHARTHA COLONY,,
"Rs. 7,00,00,000 (Negotiable)
(7 crore)",0-8-0-0,0-4-0-0,,6,2,2,,3,"TRIPURA SUNDARI MARG, MITRANAGAR, KATHMANDU, NEPAL",14 FT,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04468,5 YEARS AGO,1777,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-mitranagar-4468,,,,
"Rs. 6,50,000 (Negotiable)
(Six lakh fifty thousand per month)",3-0-0-0,,,,,,,,"CHUNDEVI, MAHARAJGUNJ, KATHMANDU, NEPAL",13 FT,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB09324,1 YEAR AGO,1232,NOT FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-baluwatar-kathmandu-9324,,,,
