Address,Land,Road,Price,Bedroom,Bathroom,Face,Floors
"LAGANKHEL, LALITPUR, NEPAL",1197.87,20,8000000,3,3,North,3
"SCHOOL CHOWK, IMADOL, LALITPUR, NEPAL",1283.43,18,9500000,2,1,West,1.5
"KHADKAGAUN, KALANKI, KATHMANDU, NEPAL",1882.37,16,12000000,6,5,North,2.5
"GOTHATAR, KATHMANDU, NEPAL",898.4,13,12500000,4,2,East,2
"GOKARNA, KATHMANDU, NEPAL",1369,15,13500000,4,2,East,2
"SARASWOTINAGAR, CHABAHIL, KATHMANDU, NEPAL",684.5,20,13500000,6,3,North,3
"SIDDHIPUR, SANAGAU, LALITPUR, NEPAL",962.57,13,13500000,5,3,West,2.5
"THANKOT,KATHMANDU, NEPAL",1026.75,16,13500000,3,2,South,1
"DHAPAKHEL HEIGHT, LALITPUR, NEPAL",898.4,12,13500000,4,3,South,2.5
"NEAR SHREE NARAYAN SCHOOL, LALITPUR, NEPAL",1625.68,13,14000000,2,1,North,1
"KHADKA TOLE, KATHMANDU, NEPAL",1026.75,20,14200000,5,2,North East,2.5
"OM CHOWK, KATHMANDU, NEPAL",983.96,13,14500000,4,3,West,2.5
"NEAR BY SUSHANT POLY CLINIC, JYOTINAGAR, KAPAN, KATHMANDU, NEPAL",855.62,10,14500000,4,3,East,2.5
"BALKOT, BHAKTAPUR, NEPAL",1369,13,14500000,5,3,West,2.5
"CHANGU NARAYAN ROAD, BHAKTAPUR, NEPAL",4363.68,12,15000000,15,4,South East,3.5
"KAGESHWORI-MANOHARA NA.PA, DANCHHI, KATHMANDU, NEPAL",1026.75,10,16000000,4,3,South East,2.5
"HARISIDDHI, LALITPUR, NEPAL",2481.31,13,16000000,2,1,East,1
"GREEN VILLAGE HOMES, RAMKOT, KATHMANDU, NEPAL",1369,16,16800000,5,2,West,2.5
"BOUDHA, KATHMANDU, NEPAL",727.28,10,17000000,7,4,South East,3.5
"OCHU HEIGHT, IMADOL, KATHMANDU, NEPAL",1026.75,13,17000000,6,3,North West,2.5
"BALKOT, BHAKTAPUR, BHAKTAPUR, NEPAL",1369,10,17000000,4,2,East,2
"NEAR NEW DIAMOND ACADEMY, KATHMANDU, NEPAL",1369,10,17000000,8,4,East,2.5
"SUNDERBASTI, MADHEYPUR THIMI, BHAKTAPUR, NEPAL",941.18,13,17200000,5,3,North East,3
"MAHALAXMI-03, IMADOL, LALITPUR, NEPAL",1048.14,14,17500000,5,3,South,2.5
"NEAR HIM SHIKHAR SCHOOL, KATHMANDU, NEPAL",1197.87,13,17500000,6,4,South West,3.5
"KHUMALTAR, LALITPUR, NEPAL",2310.18,10,17500000,8,5,East,3.5
"MANDIKHATAR, KATHMANDU, NEPAL",877.01,20,17500000,4,2,West,2.5
"PAIYATAR, KATHMANDU, NEPAL",1026,13,17500000,11,9,South East,3
"LAMATAR, LALITPUR, NEPAL",1197.87,13,17500000,2,3,South,2.5
"SITAPAILA RAMKOT, KATHMANDU, NEPAL",1347.6,10,17500000,3,3,South West,2.5
"NEAR HAR HAR MAHADEV, KATHMANDU, NEPAL",1475.95,13,18500000,6,3,North West,2.5
"NAYABASTI, IMADOL, LALITPUR, NEPAL",1026.75,13,18500000,4,4,West,2.5
"JADIBUTI, KATHMANDU, NEPAL",1411.78,10,18500000,6,4,West,2.5
"JARANKHU, KATHMANDU, NEPAL",1540.12,13,18500000,2,1,East,1
"PANCHAYAN MANDIR MARG, SANO THIMI, BHAKTAPUR, NEPAL",1240.65,10,19000000,10,4,East,3.5
"SHIVACHOWK, NARAYANTAR, KATHMANDU, NEPAL",1026.75,12,19000000,6,3,South East,3
"MAHALAXMI NAGARPALIKA - 1, SHEETAL TOLE, LALITPUR, NEPAL",1197.87,13,19000000,5,3,South,2.5
"NEAR GOLFUTAR, KATHMANDU, NEPAL",1026.75,15,19700000,4,4,North East,3.5
