price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Features,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Land Mark,Used For
"रू. 2,75,00,000",HB-3EC7BB,"All Core Kathmandu, Kathmandu",Available,Not Negotiable,9 months ago,2023-06-30,House - Individual,2,2.5,5,5,Gravel,Residential,3.5,1500,Semi,2,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/flat-system-house-at-satungal-in-kathmandu/3ec7bb6b3bc3422dbcffc2c012815c7e,,
"रू. 2,90,00,000",HB-2B4599,"Nakhipot, Lalitpur",Not Available,Negotiable,11 months ago,2024-08-14,House - Individual,2,2.5,4,4,Soil (Mato),Brand New House,3,1200,Non,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/25-talle-3-anna-build-new-house-sale-at-nakhipot-in-lalitpur/2b4599dceb674153a9eb4bfbd5c909c3,Nakhipot,
"रू. 5,75,00,000",HB-E6CF6E,"Bal Kumari Marg, Kharel Tol, Lazimpat",Not Available,Negotiable,9 months ago,2023-07-31,House - Individual,3,4,8,8,Gravel,,6,2000,Semi,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/samakhusi-new-house-in-nepal/e6cf6e6c3c244fe091101795a46e6b0d,,
"रू. 3,10,00,000",HB-4F66A9,"chabil cabahil, Chabahil, Kathmandu",Not Available,Not Negotiable,6 days ago,2025-06-24,HouseIndividual,2,2.5,3,6,Gravel,,3.5,2345,Full,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-on-chabahil-in-kathmandu/4f66a9868d3a44c0b06fc75a59bc3b66,,
"रू. 2,60,00,000",HB-F62CAD,"सुन्दर टोल मार्ग, सानेपा",Not Available,Not Negotiable,30 days ago,2023-10-31,House - Individual,2,3,2,6,Pitched,,4,2500,Non,2,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/ghar-ko-mulaya-navko-ghar-bkri-ma-at-sanepa-in-nepal/f62cad5140df43eeaf1c9e4528c16b2c,,
"रू. 4,60,00,000",HB-483EC6,"budanilkantha, Budhanilkantha, Kathmandu",Available,Negotiable,7 months ago,2023-07-31,House - Individual,0,2.5,3,6,Gravel,,7,0,Non,2,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-wasik-in-kathmandu/483ec6561cec499da64c7b5110bb3743,,
"रू. 3,00,00,000",HB-9ACD70,"सीतापाखा, Imadol",Not Available,Negotiable,3 months ago,2030-04-17,House - Individual,2,3,4,5,Soil (Mato),,5,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-cozy-homes-highway-najeek-in-nepal/9acd70de133d4a72a7528348c7d6b00a,,
"रू. 4,25,00,000",HB-9FA2E2,Imadol,Not Available,Negotiable,9 months ago,2024-02-29,House - Individual,2,0,4,5,Pitched,,4,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-highway-najeek-in-nepal/9fa2e27264184228bd59ec7452e86fd5,,
"रू. 4,80,00,000",HB-37A3EA,Kathmandu > Sukedhara Area,Not Available,Negotiable,1 years ago,2024-08-22,Bunglow,2,3,5,6,Pitched,,6aana,,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/for-sell-house-in-kathmandu/37a3eaeb2f05491ebf017ad6f5fe7d85,,
"रू. 11,50,00,000",HB-74F3FD,"Red Cross Road, Kalimati, Kalanki",Not Available,Negotiable,9 months ago,2023-07-27,House - Individual,5,5,5,15,Pitched,,3,800,Non,5,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/kalimati-ma-5-tale-ghar-in-nepal/74f3fd09dc4a46dfa7e68a028f78265e,,
"रू. 2,20,00,000",HB-4D618E,"Siddhipur Thaiba Road, Safal Tol, Harisiddhi, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 41700, Nepal",Not Available,Negotiable,4 days ago,2023-07-12,HouseIndividual,2,2.5,3,4,Gravel,,0.3.0.0,600,Full,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-for-sell-in-lalitpur/4d618e56e50a49ecb92e96d30c0d4abd,Bhatbhatini,
"रू. 3,15,00,000",HB-FE303F,"सीतापाखा, इमाडोल",Not Available,Negotiable,29 days ago,2023-06-17,House - Individual,2,3,4,5,Soil (Mato),,0312,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/booking-stage-in-nepal/fe303fd9fc284575b538554af394acec,,
"रू. 10,00,00,000",HB-BF4EB9,"chabil cabahil, Chabahil, Kathmandu",Not Available,Negotiable,2 months ago,2023-06-15,HouseIndividual,2,2.5,6,8,Pitched,,10 aana,0,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-chabahil-in-kathmandu/bf4eb9f68053404bb0217b00cf80eeb0,,
"रू. 95,00,000",HB-379AD3,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",Not Available,Negotiable,7 months ago,2023-09-30,House - Individual,1,1,1,2,Gravel,,3,2079,Full,1,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-bistachap-godawari-in-nepal/379ad3c972524d8ba8828c727a429cc6,,
"रू. 3,55,00,000",HB-C6EE01,"Samakhusi, Kathmandu",Not Available,Not Negotiable,10 days ago,2023-07-06,HouseIndividual,2,2.5,4,6,Pitched,,0-3-2-0,1,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-near-crs-tokha-road-in-kathmandu/c6ee01c157644a0f9079f404e762a5e4,,
"रू. 4,70,00,000",HB-F3F3A0,"Lokanthali, Bhaktapur",Not Available,Negotiable,20 days ago,2023-06-26,HouseIndividual,O,3.5,O,O,Pitched,O,7.1,O,Non,O,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/lokanthali-bigmart-najik-71anna-ghar-bikrima-in-bhaktapur/f3f3a02dcd2e4985b98b03b38491213b,Near bigmart,O
"रू. 5,50,00,000",HB-2990016,Kathmandu > Jorpati (Gokarneshwar),Not Available,Negotiable,1 years ago,2023-08-31,,1,3.5,5,9,Pitched,"3, Parking Space",12,,Non,,9 to 12 feet,https://hamrobazaar.com/for-sale-house/for-sale-flat-system-house-in-jorpati-in-kathmandu/8daa563e49e1412e80f49d378673b59f,"Jorpati, KTM",12 year
