,price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Used For,Land Mark,Features
0,"रू. 2,80,00,000",HB-241F78,Imadol,Not Available,Negotiable,7 months ago,2024-12-31,House - Individual,2,3,4,5,Soil (Mato),0320,0,Full,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-tikathali-changathali-in-nepal/241f78c114f9485a98242f51d276e30f,,,
1,"रू. 4,20,00,000",HB-5D2BBE,"budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",Not Available,Not Negotiable,4 months ago,2024-12-02,Bunglow,1,2,5,4,Pitched,5,2700,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-budanilkantha-in-kathmandu/5d2bbe32fafb4c28a0da86fe03329bfd,,,
2,"रू. 2,75,00,000",HB-6AAE91,"Sahanaj Clinic, Imadol - Tikathali, Tikathali, Imadol, Mahalaxmi, Lalitpur",Not Available,Negotiable,6 months ago,2023-07-09,House - Individual,2,3,3,5,Gravel,3,2200,Semi,2,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/in-lalitpur/6aae91e1db484e4aac191c7ebf59e36f,Not,pawanprakriti school agadi,Brand new
3,"रू. 1,18,00,000",HB-CB6BAC,"naya baneshwar, New Baneshwor, Kathmandu",Not Available,Negotiable,3 months ago,2023-07-31,HouseIndividual,O,O,O,O,Pitched,7.2,O,Non,O,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/new-baneshwor-sangam-chok-najik-72anna-bikrima-in-kathmandu/cb6bac106e5a4795ad45a30da51d2e54,O,Newbaneshwor sangam chok,O
4,"रू. 4,65,00,000रू. 4,65,00,000",HB-85FD90,"mathatirtha, Matatirtha (Chandragiri), Kathmandu",Available,Not Negotiable,8 months ago,2023-06-28,House In a Colony,2,2,4,4,Pitched,9,3080.25,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-matatirtha-chandragiri-b19-in-kathmandu/85fd904f032246a6a9f3121a7ce33b84,,,
5,"रू. 2,60,00,000",HB-C9F70D,"Pokhara Metropolitan Ward No. 14, Pokhara, Kaski, Gandaki Pradesh, 33709, Nepal",Not Available,Not Negotiable,27 days ago,2023-06-18,HouseIndividual,2,2.5,6,6,Pitched,4.19,842,Semi,2,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/in-kaski/c9f70d1bc7454fd0b7c3bb8886b469f2,,,Good condition
6,"रू. 1,60,00,000",HB-0817A2,"budanilkantha, Pasikot (Budhanilkantha), Kathmandu",Available,Not Negotiable,12 months ago,2023-12-10,House - Individual,,1,,,Pitched,3.2,,,,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/32ana-house-for-sale-at-budhanilkantha-in-kathmandu/0817a29ace4e41c683212c065c372b79,,,
7,"रू. 3,60,00,000",HB-F02A9D,"nakkhu, Nakhu, Lalitpur",Not Available,Negotiable,5 months ago,2023-09-30,HouseIndividual,1,2.5,5,4,Pitched,4.25,857,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-nakhu-nakhkhu-near-medicity-in-lalitpur/f02a9d0fbe584159a89eb8d480f16c9d,3 years,500m from medicity,Peaceful Locality for residential use
8,"रू. 2,10,00,000",HB-AF5B0B,"Tharlam Gompa road, Sundar Tol, Baudha",Not Available,Not Negotiable,5 months ago,2024-12-31,House - Individual,3,35,4,8,Pitched,25,2,Full,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bouddha-jorpati-ktm-in-nepal/af5b0b7efc7f4789827beaa59d857b01,,Bouddha jorpati,
9,"रू. 1,85,00,000",HB-4C4A41,Chapagaon,Not Available,Negotiable,13 days ago,2023-07-02,House - Individual,2,3,3,6,Gravel,4,2400,Semi,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-house-for-sale-in-chapagaun-in-nepal/4c4a41ef08264f1ebe10320c469ad9af,,,
10,"रू. 4,25,00,000",HB-DC3386,"Banasthali, Kathmandu",Not Available,Negotiable,11 months ago,2024-07-20,House - Individual,1,3,2,2,Pitched,0-4-1-0,0,Full,1,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/dhungedhara-ma-4-ana-1-paisa-ma-baneko-ghar-bikrim-in-kathmandu/dc3386d3852d4d05b5e16ca7de3e2eb0,Home,,New
11,"रू. 3,25,00,000",HB-48861E,Imadol,Not Available,Negotiable,7 months ago,2023-06-24,House In a Colony,1,3,3,4,Pitched,4,2000,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-sital-hight-house-on-sale-in-nepal/48861edac5c148b9bff086ecef3353a4,good family,imadol sital hight,very good
12,"रू. 4,75,00,000",HB-0FAD36,"थ्रीबम सडक, किरण चोक, बालुवाटार",Not Available,Negotiable,8 days ago,2029-07-07,House - Individual,1,5,5,3,Pitched,3,1000,Non,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/sell-or-rent-in-nepal/0fad3688c9dd48e8a28f2963c1cd99ec,,,
13,"रू. 7,50,00,000",HB-AB3BAD,"Golfutar West Road, Golphutar",Not Available,Not Negotiable,6 months ago,2025-01-31,House - Individual,3,3,8,7,Pitched,14,3000,Full,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/14-in-nepal/ab3baded286743989c36f285d0c9de9c,,,"गार्डेन, पार्किंग र करेसाबारी"
14,"रू. 3,40,00,000",HB-BC6BFA,"bangal, Bhangal (Budhanilkantha), Kathmandu",Not Available,Not Negotiable,6 months ago,2024-02-07,HouseIndividual,2,3,4,4,Gravel,3 anna 3 paisa,1026.75,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-near-hattigauda-budhanilkantha-in-kathmandu/bc6bfa57552141ab81090587664f36b4,,,
15,"रू. 4,00,00,000",HB-3043041,Kathmandu > Pasikot (Budhanilkantha),Not Available,Negotiable,1 years ago,2023-12-10,,,2.5,,,Pitched,6,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/52-aana-house-for-sale-at-budhanilkantha-pasikot-in-kathmandu/e1a3c464a9394e73a92f3d73cc115a1b,,Budhanilkantha pasikot golden chowk,
16,"रू. 2,95,00,000",HB-E8AB07,"Satungal (Chandragiri), Kathmandu",Not Available,Not Negotiable,4 months ago,2023-07-14,HouseIndividual,1,2.5,3,3,Pitched,4.2,2165,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-satungal-gjbhos-3387-in-kathmandu/e8ab07beffa64b1eab9af2e38d759fe9,,,
17,"रू. 13,00,00,000",HB-AAD3BE,"basbari, Bansbari, Kathmandu",Not Available,Negotiable,3 months ago,2023-07-29,HouseIndividual,2,2.5,6,6,Pitched,18,2500,Semi,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-bansbhari-kathmandu-in-kathmandu/aad3be5bfb554e5190c50b30a9e9cc5e,Resedentail,Bansbhari near by namuna college,Good
18,"रू. 6,00,00,000",HB-570B86,"mandhikatar, Mandikatar (Dhumbarahi), Kathmandu",Not Available,Negotiable,4 months ago,2023-12-14,HouseIndividual,1,2.5,2,3,Pitched,6aana,0,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-mandikatar-in-bara/570b86957dde4b089f9f36a833fa87a6,,,
19,"रू. 4,00,00,000",HB-78BC19,"swayambhu, Swoyambhu, Kathmandu",Not Available,Negotiable,24 days ago,2023-12-31,HouseIndividual,1,.,4,6,Pitched,4Anna,977sq.ft,Non,2,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kathmandu/78bc19225f8a4278bdfd784bad5c738f,,,
20,"रू. 6,75,00,000",HB-3038931,Kathmandu > Baluwatar,Not Available,Negotiable,1 years ago,2023-08-24,,,,,,,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-in-baluwatar-in-kathmandu/d5b5002c7da849b192e55089724ab955,,,
21,"रू. 6,90,00,000",HB-2885267,Kathmandu > Chapali (Budhanilkantha),Available,Negotiable,2 years ago,2023-11-30,,1,2.5,3,3,Pitched,14.1,,Semi,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/bungalow-house-in-chapali-height-for-sale-in-kathmandu/c9bd7c2735ab4a33ab56b0343b6f1960,,Chapali height,"2, 3, 4, 5, Garden, Parking Space, Garage, Servant Quarter"
22,"रू. 2,95,00,000",HB-CB845D,"सीतापाखा, इमाडोल",Not Available,Not Negotiable,2 months ago,2023-07-15,House In a Colony,2,3,3,4,Others,32,2000,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-nayabasti-beautiful-house-on-sale-in-nepal/cb845d425d1e425e8c0fde1952e57077,family standard staying,imadol Naya basti,vip very good silents places
23,"रू. 2,50,00,000",HB-EB27D7,"Luvu Burger House, Lubhu, townplannig road, Lubhu, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44708, Nepal",Available,Negotiable,7 months ago,2023-12-05,House - Individual,3,2.5,3,4,Gravel,3.5,2066.26,Semi,3,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/semi-bungalow-house-on-sale-in-lalitpur/eb27d7c24c144c6fa4b4e9bc7c32a277,1 Month,Near Vally Public School,Enough Parking
24,"रू. 6,00,00,000",HB-23176A,"Chundevi (Maharajgunj), Kathmandu",Not Available,Not Negotiable,21 days ago,2023-06-25,HouseIndividual,2,3,5,5,Pitched,6,3200,Non,1,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-for-sale-at-chundevi-ktm-in-kathmandu/23176af9399c484592e55183123935f2,,,
25,"रू. 29,99,999",HB-3072111,Parsa (Birgunj) > Shreepur,Not Available,Negotiable,1 years ago,2023-06-28,,,,,,Gravel,,,,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/radhemai-birgunj-in-parsa/ff00647c4cda443ea7def6d3541bfc58,,,
26,"रू. 3,50,00,000",HB-C96845,"Baluwatar, Kathmandu",Not Available,Negotiable,3 days ago,2023-07-12,HouseIndividual,2,3,5,8,Pitched,4,2000,Non,2,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-baluwatar-ktm-in-kathmandu/c9684517bc2645109653c00e61186c86,,Near by nepal rastra bank baluwatar.,Good
27,"रू. 7,50,00,000",HB-79C30F,"nakkhu, Nakhu, Lalitpur",Not Available,Not Negotiable,16 days ago,2023-06-30,HouseIndividual,4,5,10,10,Pitched,7,5000,Non,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/a-modern-house-for-sale-at-nakhu-lalitpur-in-lalitpur/79c30f9151f1407aaee50101cc6b948c,,,
28,"रू. 4,00,00,000",HB-2E3411,"Sunakothi, Lalitpur",Not Available,Not Negotiable,3 months ago,2023-06-15,HouseIndividual,1,3,4,4,Pitched,5,0,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-at-sunakothi-in-lalitpur/2e34115aaad84761ae412cbc2f9ec3c8,,,
29,"रू. 2,30,00,000",HB-012B22,"Tikathali (Mahalaxmi), Lalitpur",Available,Negotiable,7 months ago,2024-07-31,House - Individual,0,3,4,4,Pitched,3.3,1400,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/4-aana-house-on-sale-at-tikathali-lalitpur-in-lalitpur/012b224e5dd3432386c74968786fb54b,,,
30,"रू. 3,40,00,000",HB-3C9AA0,"Konika Photo Studio, Kareshwor Marga, Bhimsen Gola, Om Shanti Chok, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44703, Nepal",Not Available,Negotiable,18 days ago,2023-06-28,HouseIndividual,2,2.5,4,5,Pitched,3.2,3000,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/semi-buanglow-house-on-sale-at-baneshowr-in-kathmandu/3c9aa07826a44bdca34012214425472a,,,
31,"रू. 2,00,00,000",HB-3022466,Lalitpur > Imadol (Mahalaxmi),Available,Negotiable,1 years ago,2023-08-31,,1,2.5,3,3,Pitched,3,,Semi,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/for-sale-bungalow-at-imadol-lalitpur-in-lalitpur/aa9820bded2947d6a4834886ee12617f,4 years,"near swimming pool, Imadol","Garden, Parking Space"
32,"रू. 3,75,00,000",HB-31C8B3,"bangal, Bhangal (Budhanilkantha), Kathmandu",Not Available,Negotiable,26 days ago,2023-06-19,HouseIndividual,1,2.5,4,6,Pitched,5,0,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-in-bhangal-budhanilkantha-in-kathmandu/31c8b3ac58f2478d9768ad59aa4a77e3,4 years,,
33,"रू. 2,85,00,000",HB-FC216F,"Balaju, Kathmandu",Not Available,Not Negotiable,3 months ago,2023-08-14,HouseInColony,3,2.5,3,6,Others,3.5 aana,3200,Non,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-balaju-tarkeswor-in-kathmandu/fc216f9206d444719168b61cd545a8aa,,,
34,"रू. 3,30,00,000",HB-0CE5F1,"budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",Not Available,Negotiable,2 months ago,2023-06-17,HouseSemiCommercial,3,3.5,5,11,Pitched,4 aana,0,Non,3,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/semi-commercial-house-on-sale-hepali-in-kathmandu/0ce5f1d415194f1690a2d03521230fff,,,
