Unnamed: 0,title,address,price,land_area,road_access,Facing,parking,bedroom,bathroom,floor
0,House on sale at Bhaisepati near Big Mart.,"Talim Kendra Road,Bhaisepati,Kathmandu","NPR 85,000,000",7 aana 3 paisa 2 dam,33 ft,South/East,2.0,6.0,5.0,2.5
1,"Residential Semi-Furnished 6 BHK Bungalow House is ""𝗙𝗢𝗥 𝗦𝗔𝗟𝗘"" at Balkumari, Imadole.","Balkumari, Imadole,Balkumari,Lalitpur","NPR 60,000,000",9 aana,13 ft,East,3.0,6.0,6.0,3.5
2,"Residential 3.5 Storey House is FOR SALE at Opposite of Army Rehabilitation Center. Nearby Dhungedhara, Banasthali.","Banasthali,Dhungedhara,Kathmandu","NPR 34,000,000",4 Aana,13,East,1.0,6.0,5.0,3.5
3,"Luxury Villa For Sale @ Thecho just nearby CG The Villa Housing, Thecho 𝑯𝒆𝒊𝒈𝒉𝒕.","Thecho,Sunakothi,Lalitpur","NPR 85,000,000",9 aana 3 paisa,16ft,East,3.0,6.0,7.0,2.5
4,Bungalo on sale at Sunakothi Lalitpur,"Villa sunakothi,sunakothi,Lalitpur","NPR 32,500,000",4 aana 1 paisa,Yes,North,,5.0,3.0,2.0
5,Beautifull 2.5 storied Residential House for Sale At Bhaisepati,"Bhaisipati, Saibudol,Bhaisepati,Lalitpur","NPR 33,500,000",5 Aana 1 Paisa,14,North/East,3.0,5.0,4.0,2.5
6,"Residential 3.5 storey house built on 6 aana 3 paisa ON SALE at Lamathumki, Sitapaila.","Lamathumki, Sitapaila.,Lamathumki, Sitapaila.,Kathmandu","NPR 38,000,000",6aana 3paisa,13 feet,East,,9.0,7.0,3.5
7,"Semi-furnished Residential Bungalow House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Kirtipur, Tyanglaphat.","Kritipur,Tyanglaphat Heigh,Kathmandu","NPR 57,000,000",7 aana 2 paisa,20,east,1.0,5.0,4.0,2.0
8,"Residential Bungalow House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Maharajgunj, Ganesh Basti.(Opposite of Qatar Visa Center) Soldout","Maharajgunj,chakrapath,Kathmandu","NPR 72,500,000",10,13,North/East,1.0,6.0,4.0,2.5
9,"Residential 2.5 Storey Ready to MOVE Full-furnished Bungalow House is FOR SALE at Ichangu Narayan, Namgel chowk. Soldout","Ichangu Narayan, Namgel chowk,sano bharyang,Kathmandu","NPR 31,000,000",3 aana 3 paisa 1 dam,10,north,1.0,5.0,4.0,2.5
10,"The living or corporate business is easy in this impressive, beautiful house located just 600 Meter from Ring Road and just behind to Tennis Court, Madikhatar.","Madikhatar Tennis Court,Budhanilantha,Kathmandu","NPR 43,500,000",6 aana 2 paisa,13,North/West,2.0,4.0,5.0,3.5
11,"7 BHK Semi-Commercial flat system's House is ""FOR SALE"" at Shankhamul, Bagmati Corridor.","Shankhamul,Sankhamul, Near by Bagmati Bridge,Kathmandu","NPR 68,000,000",7 aana 2 paisa,26/20,east and north,1.0,7.0,3.0,3.5
12,"Beautiful 2.5 storied Residential “HOUSE FOR SALE” at Surya darshan Height, Baniyatar","suryadarshan Height,Baniyatar,Kathmandu","NPR 20,500,000",0-3-0-0,,east,1.0,4.0,3.0,2.5
13,"Residential 3.5 Storey Non-furnished House built in 4 aana is FOR SALE at Budanilkantha, Lower Pasikot.","pasikot,pasikot, budhanilkantha,Kathmandu","NPR 31,000,000",0-4-0-0,13,east/west,1.0,5.0,3.0,3.5
14,"Newly Built 3.5 storey Full-Furnished house is 'FOR SALE' at Budanilkantha, Umanga Chowk.","umang chowk,budhanilkantha,Kathmandu","NPR 44,000,000",0-5-3-0,27,north/east,1.0,8.0,7.0,3.5
15,"Residential 3 Storey House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Bhaktapur, Suryabinayak, Nearby Araniko Highway.","Sundar Basti Katunje-8,Suryabinayak,Bhaktapur","NPR 82,000,000",0-6-0-1,12 ft,South/East,,13.0,4.0,3.0
16,"Fully wooden furnishing Bungalow House is ""FOR SALE"" at Budanilkantha, Chapali Bhadrakali. Soldout","Chapali Bhadrakali.,Budhanilkantha,Kathmandu","NPR 61,500,000",6,13,South,1.0,5.0,5.0,2.5
17,"Semi-Commercial House on Sale at Putalisadak, New plaza Road","Putalisadak, New Plaza road (Nearby Singha Durbar),Putalisadak,Kathmandu","NPR 50,000,000",4,20,west,1.0,15.0,6.0,3.5
20,"Commercial cum Residential 2 Houses with 11 aana 2 paisa land is 𝐅𝐨𝐫 𝐒𝐚𝐥𝐞 at Thulo-Bharyang, Nearby Transportation Office.","Thulo-Bharyang,Nearby Transportation Office.,Kathmandu","NPR 140,000,000",0-11-2-0,22,East/North,1.0,10.0,5.0,3.5
21,Residential 5 BHK Semi-Furnished house ON SALE at Mandikatar height.,"Mandikatar,kathmandu,Kathmandu","NPR 40,000,000",0-4-3-2,13,West,1.0,5.0,3.0,2.5
22,"Residential 5 BHK House On Sale at Budanilkantha, Pasikot.","Upper Pasikot,Pasikot, Budanilkantha,Kathmandu","NPR 51,000,000",0-7-1-0,22,south,1.0,5.0,6.0,3.5
23,"Residential 2.5 Storey Banglow ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Bhaktapur, Srijana nagar/Katunje-09.","Bhaktapur, Srijana nagar/Katunje-09 (Nearby Suryabinayak Municipality Office),Bhaktapur, Srijana nagar/Katunje-09 (Nearby Suryabinayak Municipality Office),Kathmandu","NPR 85,000,000",,,,,,,
24,𝑬𝒙𝒑𝒆𝒓𝒊𝒆𝒏𝒄𝒆 𝒑𝒆𝒂𝒄𝒆 𝒂𝒏𝒅 𝒍𝒖𝒙𝒖𝒓𝒚 𝒍𝒊𝒌𝒆 𝒏𝒆𝒗𝒆𝒓 𝒃𝒆𝒇𝒐𝒓𝒆. 𝑳𝒊𝒎𝒊𝒕𝒆𝒅 Houses 𝒂𝒗𝒂𝒊𝒍𝒂𝒃𝒍𝒆. @ 𝑺𝒊𝒕𝒂𝒑𝒂𝒊𝒍𝒂 𝑺𝒂𝒓𝒂𝒏𝒑𝒖𝒓 𝑯𝒆𝒊𝒈𝒉𝒕 𝑩𝒐𝒐𝒌 𝒏𝒐𝒘.,"Sitapaila, behind of Aani Gumba, Just 1.5km from Sitapaila Chowk (Ring Road),Sitapaila, behind of Aani Gumba, Just 1.5km from Sitapaila Chowk (Ring Road),Kathmandu",,3.75 aana - 5.5 aana,14,,2.0,6.0,4.0,2.5
25,"Residential 2 Storey House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Bhaktapur, Nearby Changunarayan Municipality office.","Bansbari, Bhaktapur (On the way of Nagarkot Road),Bansbari, Bhaktapur (On the way of Nagarkot Road),Kathmandu","NPR 13,500,000",3 aana 2 paisa,,west,,3.0,2.0,2.0
26,"Residential 3.5 Storey Newly Built House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Tokha, Surya Darshan Height. Soldout","Surya Darshan Height, Nearby Angels Paradise School (Just behind of Grande Tower),Surya Darshan Height, Nearby Angels Paradise School (Just behind of Grande Tower),Kathmandu","NPR 29,500,000",,,,,,,
27,"flat system house on sale at Putalisadak, New Plaza Road.","Putalisadak, New Plaza road (Nearby Singha Durbar),Putalisadak, New Plaza road (Nearby Singha Durbar),Kathmandu","NPR 50,000,000",4 aana,20feet,west,,3.5,,
28,"For Residential Purpose 1storied House with 5 aana land ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Satdobato, behind of Civil Homes Khumaltar.","Satdobato, Bodhigram, Bafal-15, just 600 meters from ANFA Football Ground, Behind Civil Homes Khumaltar,Satdobato, Bodhigram, Bafal-15, just 600 meters from ANFA Football Ground, Behind Civil Homes Khumaltar,Kathmandu","NPR 27,500,000",,,,,,,
29,"2 storey Residential House built on 5 aana, located at nearby Shemrock School, Gongabu Chowk is for sale.","Gongabu Chowk,Nearby Shemrock School, Gongabu Chowk (220 meter from Ringroad),Kathmandu","NPR 37,000,000",5aana,10,west,,4.0,2.0,2.0
30,"Residential 3.5 storey house built on 6 aana 3 paisa ON SALE at Lamathumki, Sitapaila.","Lamathumki, Sitapaila.,Lamathumki, Sitapaila.,Kathmandu","NPR 38,000,000",6aana 3paisa,13 feet,East,,9.0,7.0,3.5
31,"Full-Furnished Residential House ON SALE at Basundhara, Sundarnagar.","Basundhara, Sundarnagar,Basundhara (250 m inside from ring road),Kathmandu","NPR 67,000,000",7 Aana 1 paisa,13,west,8.0,5.0,5.0,2.5
32,"Dhumbarahi 8 BHK Residential House ON SALE at one of the prime location of valley, Dhumbarahi, just behind of AKAMA HOTEL and Dhumbarahi Tarkari Bazaar.","Dhumbarahi,Dhumbarahi, just behind of Akama Hotel and Dhumbarahi Tarkari Bazaar,Kathmandu","NPR 57,000,000",,,,8.0,8.0,7.0,3.5
33,"Beautiful 3.5 storey house built in 4 anna 3 paisa land is ""FOR SALE"" at Surya Darshan height, Tokha Municipality-03","Surya Darshan height, Tokha Municipality-03,Surya Darshan Height, Ward No. 3, Tokha Municipality, Kathmandu (located just behind Grande Hospital),Kathmandu","NPR 30,000,000",4aana 3 paisa,13 feet,west,2.0,7.0,4.0,3.5
34,"Residential 3 storied House built in 4 aana 2 paisa for sale at Gurjudhara, Matatirtha-6","Gurjudhara, Matatirtha-6,Gurjudhara, Matatirtha-6, Just 1 km from Gurjudhara main road , 5 km from Kalanki chowk,Kathmandu","NPR 18,500,000",4aana 2 paisa,10ft front,East,4.0,4.0,3.0,3.0
35,"Beautiful 5.5 storey 13 BHK house built in 6 anna 1 paisa is for Sale near at Pranjali School, Machhapokhari.","Balaju,- Machhapokhari Balaju, Near Pranjali School. - Kumari than,Kathmandu","NPR 59,000,000",6 aana 1 paisa,20 feet,South to East,,16.0,18.0,6.5
36,"2.5 Storied 4 BHK House on sale at Banasthali, Dhungedhara. Price Rs 2 Crore 95 Lakh only. Soldout","Banasthali, Dhungedhara.,Banasthali, Dhungedhara.( Inside the Banasthali catering ),Kathmandu","NPR 29,500,000",3 Aana,10 ft,East,,4.0,3.0,2.5
37,"Residential 2.5 storey house for sale in Dhapakhel-24, Bhandari Gaun. Soldout","Dhapakhel-24, Bhandari Gaun,Dhapakhel-24, Bhandari Gaun, 5 km from Satdobato and 2.7 km from Gems School,Kathmandu","NPR 25,000,000",4.5 aana,18ft,East-South,5.0,7.0,2.0,2.5
38,Residential 2.5 Storied 5 Bhk House Is For Sale At Kalanki. Soldout,"Kalanki, kathmandu( Just behind of Baba petrol pump),- 2 minute ring road kalanki chowk - 1 minute walking from Tribhuvan highway,Kathmandu","NPR 33,000,000",5 aana 2 paisa 2 daam,13 to 20 feet,North,10.0,5.0,3.0,2.5
39,5 BHK Banglow Located At Dhapasi Height With Area Of 13 Aana Is On SALE . Soldout,"Dhapashi Height,Tokha -4, Nearby Bhagawati Temple.,Kathmandu","NPR 55,000,000",13,14,North/East,3.0,5.0,4.0,2.5
