Price,Views,Land Area,Road Access,Facing,Floor,Parking,Bedroom,Bathroom,Furnish Status,Amenity,City,district
46500000.0,183,4.3,13.0,West,3.0,5.0,6.0,6.0,Full-Furnished,"Earthquake Resistant,Parquet,Marbel,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Living Room,Bathroom,+ 3 See More",Hepali Height, Kathmandu
35000000.0,95 ,2.5,13.0,South-East,3.0,3.0,3.0,2.0,Semi-Furnished,"Drainage,Solar,Parking,Drinking Water,Balcony,Terrace,Reserve Tank,Servant Quarter,Earthquake Resistant,Dining Room,Bed Room,+ 13 See More",Sanepa, Lalitpur
28000000.0,400,3.2,6.0,East,6.0,,22.0,8.0,Un-Furnished,,Old Baneshwor, Kathmandu
76000000.0,29 ,6.0,10.0,South,3.5,6.0,8.0,10.0,Semi-Furnished,"Earthquake Resistant,Parquet,Marbel,CC Camera,Drainage,Solar,Garden,Parking,Drinking Water,Balcony,Reserve Tank,+ 18 See More",Baluwatar, Kathmandu
73500000.0,40 ,9.1,13.0,South-East,3.5,6.0,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Solar,Garden,Parking,Drinking Water,Balcony,Reserve Tank,Bathtub,+ 10 See More",Manamaiju, Kathmandu
23000000.0,1k ,3.0,13.0,South-East,2.5,4.0,5.0,3.0,Un-Furnished,,Greenhill City, Kathmandu
39000000.0,506,6.0,14.0,South-West,2.5,5.0,6.0,6.0,Un-Furnished,"Earthquake Resistant,Drainage,Parking,Drinking Water,Balcony,Power Backup,Dining Room,Bathroom,Bed Room,Living Room,Kitchen,+ 1 See More",Budhanilkantha, Kathmandu
35000000.0,52 ,4.0,18.0,South-East,3.0,3.0,7.0,4.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Dining Room,Bed Room,+ 5 See More",Sainbu, Lalitpur
16000000.0,196,2.2,12.0,East,2.5,5.0,5.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Balcony,Reserve Tank,Terrace,Boring Water,Water Purifier,Modular Kitchen,+ 6 See More",Thali, Kathmandu
28000000.0,150,3.3,13.0,West,3.0,8.0,5.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,CC Camera,Solar,Parking,Balcony,Reserve Tank,Lawn,Terrace,Well,+ 13 See More",Balkot, Bhaktapur
40000000.0,762,4.0,16.0,West,3.0,,10.0,4.0,Semi-Furnished,"Earthquake Resistant,Drainage,Solar,Parking,Balcony,Drinking Water,Terrace,Power Backup,Dining Room,Bed Room,Bathroom,+ 2 See More",Budhanilkantha, Kathmandu
22500000.0,476,3.2,20.0,South,2.5,,,,Un-Furnished,,Pasikot, Kathmandu
19000000.0,873,4.0,5.0,South,2.5,,4.0,3.0,Semi-Furnished,,Bhaisepati, Lalitpur
26500000.0,1.1,3.0,20.0,South,2.0,,,,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Balcony,Terrace,Power Backup,Dining Room,Bed Room,Bathroom,+ 2 See More",Jyotinagar, Kathmandu
30000000.0,231,4.0,13.0,South,4.5,,,,Un-Furnished,,Bagdurbar, Kathmandu
55500000.0,65 ,6.2,20.0,South,3.5,7.0,6.0,6.0,Semi-Furnished,,Pepsicola, Kathmandu
