,price,views,land area,road access,facing,floor,parking,bedroom,bathroom,furnish status,amenity,city,district
0,Rs. 4.65 Cr,183,4.3 ,13 Feet,West,3.0,2 Cars & 3 Bikes,6.0,6.0,Full-Furnished,"Earthquake Resistant,Parquet,Marbel,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Living Room,Bathroom,+ 3 See More",Hepali Height, Kathmandu
1,Rs. 3.5 Cr,95 ,2.5 ,13 Feet,South-East,3.0,1 Cars & 2 Bikes,3.0,2.0,Semi-Furnished,"Drainage,Solar,Parking,Drinking Water,Balcony,Terrace,Reserve Tank,Servant Quarter,Earthquake Resistant,Dining Room,Bed Room,+ 13 See More",Sanepa, Lalitpur
2,Rs. 2.8 Cr,400,3.2 ,6 Feet,East,6.0,,22.0,8.0,Un-Furnished,,Old Baneshwor, Kathmandu
5,Rs. 7.6 Cr,29 ,6.0 ,10 Feet,South,3.5,3 Cars & 3 Bikes,8.0,10.0,Semi-Furnished,"Earthquake Resistant,Parquet,Marbel,CC Camera,Drainage,Solar,Garden,Parking,Drinking Water,Balcony,Reserve Tank,+ 18 See More",Baluwatar, Kathmandu
6,Rs. 7.35 Cr,40 ,9.1 ,13 Feet,South-East,3.5,2 Cars & 4 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Solar,Garden,Parking,Drinking Water,Balcony,Reserve Tank,Bathtub,+ 10 See More",Manamaiju, Kathmandu
7,Rs. 2.3 Cr,1k ,3.0 ,13 Feet,South-East,2.5,4 Bikes,5.0,3.0,Un-Furnished,,Greenhill City, Kathmandu
8,Rs. 3.9 Cr,506,6.0 ,14 Feet,South-West,2.5,2 Cars & 3 Bikes,6.0,6.0,Un-Furnished,"Earthquake Resistant,Drainage,Parking,Drinking Water,Balcony,Power Backup,Dining Room,Bathroom,Bed Room,Living Room,Kitchen,+ 1 See More",Budhanilkantha, Kathmandu
9,Rs. 3.5 Cr,52 ,4.0 ,18 Feet,South-East,3.0,1 Cars & 2 Bikes,7.0,4.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Dining Room,Bed Room,+ 5 See More",Sainbu, Lalitpur
10,Rs. 1.6 Cr,196,2.2 ,12 Feet,East,2.5,1 Cars & 4 Bikes,5.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Balcony,Reserve Tank,Terrace,Boring Water,Water Purifier,Modular Kitchen,+ 6 See More",Thali, Kathmandu
11,Rs. 2.8 Cr,150,3.3 ,13 Feet,West,3.0,1 Cars & 7 Bikes,5.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,CC Camera,Solar,Parking,Balcony,Reserve Tank,Lawn,Terrace,Well,+ 13 See More",Balkot, Bhaktapur
12,Rs. 4 Cr,762,4.0 ,16 Feet,West,3.0,,10.0,4.0,Semi-Furnished,"Earthquake Resistant,Drainage,Solar,Parking,Balcony,Drinking Water,Terrace,Power Backup,Dining Room,Bed Room,Bathroom,+ 2 See More",Budhanilkantha, Kathmandu
13,Rs. 2.25 Cr,476,3.2 ,20 Feet,South,2.5,,,,Un-Furnished,,Pasikot, Kathmandu
14,Rs. 1.9 Cr,873,4.0 ,5 Feet,South,2.5,,4.0,3.0,Semi-Furnished,,Bhaisepati, Lalitpur
16,Rs. 2.65 Cr,1.1,3.0 ,20 Feet,South,2.0,,,,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Balcony,Terrace,Power Backup,Dining Room,Bed Room,Bathroom,+ 2 See More",Jyotinagar, Kathmandu
17,Rs. 3 Cr/aana,231,4.0 ,13 Feet,South,4.5,,,,Un-Furnished,,Bagdurbar, Kathmandu
18,Rs. 5.55 Cr,65 ,6.2 ,20 Feet,South,3.5,3 Cars & 4 Bikes,6.0,6.0,Semi-Furnished,,Pepsicola, Kathmandu
19,Rs. 14 Cr,101,14.0 ,,South,4.5,9 Cars & 9 Bikes,28.0,7.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,CC Camera,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Lawn,Terrace,+ 26 See More",Dillibazar, Kathmandu
20,Rs. 8.5 Cr,102,6.0 ,12 Feet,South-East,4.0,2 Cars & 8 Bikes,8.0,6.0,Un-Furnished,"Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Terrace,Well,Attic,Kitchen,+ 2 See More",Bijulibajar, Kathmandu
21,Rs. 3.38 Cr,185,3.2 ,13 Feet,East,2.5,1 Cars & 4 Bikes,4.0,3.0,Un-Furnished,,Sundarbasti, Kathmandu
22,Rs. 2.9 Cr,670,5.0 ,,,2.5,,,,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Drinking Water,Reserve Tank,Terrace,Bed Room,Bathroom,Living Room,Prayer Room,+ 1 See More",Pepsicola, Kathmandu
23,Rs. 2.6 Cr,404,3.2 ,13 Feet,East,2.5,,5.0,3.0,Un-Furnished,"Earthquake Resistant,Marbel,Drainage,Drinking Water,Reserve Tank,Terrace,Parking,Internet,Bed Room,Bathroom,Living Room,+ 2 See More",Harisiddhi, Lalitpur
24,Rs. 3.25 Cr,86 ,3.2 ,18 Feet,East,3.5,,6.0,3.0,Un-Furnished,,Ghattekulo, Kathmandu
25,Rs. 4.5 Cr,991,5.1 ,13 Feet,South-West,3.0,1 Cars & 1 Bikes,7.0,6.0,Semi-Furnished,,Bhangal , Kathmandu
26,Rs. 2.75 Cr,811,3.2 ,10 Feet,West,2.5,1 Cars & 3 Bikes,6.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Drinking Water,Balcony,Terrace,Bathtub,Power Backup,Dining Room,Bed Room,+ 3 See More",Baluwakhani, Kathmandu
27,Rs. 7.3 Cr,570,64.0 ,20 Feet,South-East,2.5,2 Cars & 4 Bikes,4.0,3.0,Un-Furnished,,Lele, Lalitpur
28,Rs. 2.5 Cr,1k ,5.0 ,16 Feet,East,2.5,1 Cars & 2 Bikes,4.0,3.0,,"Earthquake Resistant,Marbel,Parquet,Drainage,Drinking Water,Balcony,Power Backup,Bed Room,Bathroom,Kitchen,Living Room,+ 1 See More",Syuchatar, Kathmandu
29,Rs. 3.2 Cr,155,4.0 ,13 Feet,South-East,2.5,2 Cars,5.0,4.0,Semi-Furnished,"Marbel,Drainage,Parking,Reserve Tank,Drinking Water,Terrace,Solar,Bed Room,Bathroom,Living Room,Prayer Room,+ 1 See More",Kapan, Kathmandu
30,Rs. 3.9 Cr,55 ,4.0 ,26 Feet,West,2.5,1 Bikes,4.0,3.0,Un-Furnished,,Khusibu Town Planning, Kathmandu
31,Rs. 6 Cr,530,9.0 ,13 Feet,East,2.5,2 Cars & 3 Bikes,6.0,,Semi-Furnished,"Earthquake Resistant,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bed Room,Bathroom,Living Room,+ 1 See More",Imadol, Lalitpur
32,Rs. 65 Lac,111,1.2 ,20 Feet,East,,2 Bikes,2.0,1.0,Un-Furnished,,Kirtipur, Kathmandu
33,Rs. 4.6 Cr,422,7.0 ,13 Feet,South-East,2.5,3 Cars,6.0,5.0,Semi-Furnished,"Parquet,Marbel,Drainage,Solar,Parking,Terrace,Balcony,Boring Water,Reserve Tank,Living Room,Bathroom,+ 4 See More",Nakhipot, Lalitpur
34,Rs. 4.95 Cr,1.2,8.2 ,12 Feet,South-East,3.5,3 Cars,8.0,7.0,Un-Furnished,"Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Terrace,Reserve Tank,Closet,Bed Room,Living Room,+ 2 See More",Sitapaila, Kathmandu
35,Rs. 2.8 Cr,137,5.0 ,13 Feet,South,3.5,1 Cars & 3 Bikes,8.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Garden,Drinking Water,Balcony,Terrace,Power Backup,Bed Room,Kitchen,+ 2 See More",Pasikot, Kathmandu
36,Rs. 1.25 Cr,151,2.0 ,12 Feet,South-West,2.5,3 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Well,Bed Room,Living Room,+ 2 See More",Kapan, Kathmandu
37,Rs. 16 Cr,115,16.0 ,24 Feet,East,5.0,8 Cars & 9 Bikes,,,Un-Furnished,,Samakhusi, Kathmandu
38,Rs. 2.15 Cr,142,2.3 ,13 Feet,East,3.0,1 Cars & 3 Bikes,3.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Parking,Drinking Water,Balcony,Reserve Tank,Terrace,Boring Water,Well,Modular Kitchen,+ 6 See More",Imadol, Lalitpur
39,Rs. 2.15 Cr,1.1,3.0 ,12 Feet,South-East,3.0,1 Cars & 1 Bikes,4.0,3.0,Un-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Balcony,Terrace,Power Backup,Bed Room,Living Room,Bathroom,Kitchen,+ 2 See More",Baluwakhani, Kathmandu
40,Rs. 6 Cr,432,10.2 ,13 Feet,South-West,3.5,2 Cars & 3 Bikes,5.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bathroom,+ 2 See More",Mahadevtar, Kathmandu
41,Rs. 3.8 Cr,416,4.2 ,13 Feet,North-East,2.5,2 Cars,7.0,4.0,Semi-Furnished,,Sampang Chowk, Lalitpur
42,Rs. 2.9 Cr,118,4.0 ,13 Feet,South-East,2.5,2 Cars & 4 Bikes,5.0,4.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drinking Water,Balcony,Reserve Tank,Terrace,Well,Modular Kitchen,Internet,Dining Room,+ 7 See More",Balambu, Kathmandu
43,Rs. 5.8 Cr,78 ,6.0 ,20 Feet,North,3.5,2 Cars & 3 Bikes,8.0,3.0,Un-Furnished,,Ganesh Chowk, Kathmandu
44,Rs. 4.25 Cr,105,5.0 ,20 Feet,South,3.0,1 Cars & 1 Bikes,7.0,3.0,Semi-Furnished,,Bhaisepati, Lalitpur
45,Rs. 2.75 Cr,105,3.3 ,12 Feet,South-East,3.0,1 Cars & 4 Bikes,8.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Drinking Water,Boring Water,Terrace,Reserve Tank,Balcony,Closet,Dining Room,+ 4 See More",Makalbari, Kathmandu
46,Rs. 5 Cr,139,6.0 ,20 Feet,South,2.5,1 Cars & 2 Bikes,3.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Power Backup,Kitchen,+ 4 See More",Thaiba, Lalitpur
47,Rs. 3.9 Cr,799,4.3 ,13 Feet,West,2.5,,,,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Reserve Tank,Balcony,Terrace,Bathroom,Bed Room,Living Room,+ 1 See More",Icimod, Lalitpur
48,Rs. 4.25 Cr,115,4.0 ,14 Feet,South,2.5,1 Cars & 1 Bikes,3.0,3.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bed Room,Bathroom,+ 2 See More",Imadol, Lalitpur
49,Rs. 5.65 Cr,129,4.1 ,20 Feet,North,2.5,2 Cars & 3 Bikes,4.0,5.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bed Room,Bathroom,+ 2 See More",Tahachal, Kathmandu
50,Rs. 3.1 Cr,951,4.1 ,13 Feet,East,2.5,2 Cars & 5 Bikes,4.0,3.0,Un-Furnished,,Lasuntar, Kathmandu
51,Rs. 2.25 Cr,434,3.0 ,16 Feet,East,1.0,1 Cars & 3 Bikes,6.0,3.0,Full-Furnished,"Earthquake Resistant,Drainage,Parking,Reserve Tank,Terrace,Well,Modular Kitchen,Dining Room,Bed Room,Bathroom,Living Room,+ 2 See More",Imadol, Lalitpur
52,Rs. 4.5 Cr,402,7.0 ,16 Feet,South,2.5,2 Cars & 2 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bathroom,Kitchen,+ 3 See More",Imadol, Lalitpur
53,Rs. 4.25 Cr,133,4.0 ,14 Feet,South,2.5,1 Cars & 1 Bikes,3.0,3.0,Full-Furnished,,Imadol, Lalitpur
54,Rs. 2.2 Cr,720,3.0 ,13 Feet,South,2.5,1 Cars & 3 Bikes,5.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Terrace,Power Backup,Bed Room,Bathroom,Living Room,+ 1 See More",Lubhu, Lalitpur
55,Rs. 8.5 Cr,507,9.3 ,12 Feet,South,2.5,1 Cars & 2 Bikes,6.0,5.0,Full-Furnished,"Earthquake Resistant,Marbel,Parquet,Drainage,Parking,Drinking Water,Balcony,Terrace,Bathroom,Bed Room,Dining Room,+ 4 See More",Thecho, Lalitpur
56,Rs. 2 Cr,2.2,2.5 ,13 Feet,East,2.5,1 Cars & 1 Bikes,4.0,3.0,Full-Furnished,"Marbel,Parquet,Earthquake Resistant,Drainage,Parking,Drinking Water,Balcony,Terrace,Power Backup,Bathroom,Bed Room,+ 2 See More",Nakhipot, Lalitpur
57,Rs. 2.3 Cr,301,4.0 ,27 Meter,North,3.5,1 Cars & 2 Bikes,4.0,4.0,Full-Furnished,"Drainage,Parking,Balcony,Terrace,Dining Room,Bathroom,Bed Room,Living Room,Kitchen,Marbel,Parquet,+ 3 See More",Hattiban, Lalitpur
58,Rs. 5.5 Cr,637,4.0 ,13 Feet,West,2.5,1 Cars & 2 Bikes,3.0,3.0,Full-Furnished,,Naxal, Kathmandu
59,Rs. 3.6 Cr,696,12.0 ,20 Feet,East,2.5,3 Cars & 5 Bikes,7.0,7.0,Semi-Furnished,,Dhaksi, Kathmandu
60,Rs. 3.7 Cr,149,3.2 ,14 Feet,North-East,2.5,1 Cars & 1 Bikes,4.0,3.0,Full-Furnished,,Bafal, Kathmandu
62,Rs. 3.4 Cr,667,4.0 ,13 Feet,East,3.0,2 Cars & 1 Bikes,6.0,4.0,Full-Furnished,"Parking,Garden,Drinking Water,Drainage,Parquet,Marbel,Balcony,Terrace,Dining Room,Bathroom,Living Room,+ 2 See More",Banasthali, Kathmandu
63,Rs. 5.75 Cr,213,9.0 ,12 Feet,South,2.5,2 Cars & 2 Bikes,4.0,3.0,Full-Furnished,"Drinking Water,Balcony,Parking,Garden,Drainage,Marbel,Parquet,Terrace,Bed Room,Bathroom,Living Room,+ 3 See More",Budhanilkantha, Kathmandu
64,Rs. 6.75 Cr,429,6.0 ,,,2.5,,5.0,,Un-Furnished,"Earthquake Resistant,Marbel,Drinking Water,Parking,Balcony,Drainage,Terrace,Dining Room,Bed Room,Bathroom,Living Room,+ 2 See More",Chundevi, Kathmandu
65,Rs. 12 Cr,490,12.0 ,16 Feet,North,1.5,4 Cars & 5 Bikes,3.0,2.0,Full-Furnished,,Chabahil, Kathmandu
66,Rs. 2.2 Cr,95 ,5.0 ,10 Feet,West,2.5,2 Cars & 3 Bikes,6.0,3.0,Full-Furnished,"Marbel,Parquet,Drainage,Garden,Parking,Drinking Water,Balcony,Bed Room,Dining Room,Bathroom,Living Room,+ 1 See More",Thankot, Kathmandu
68,Rs. 2.3 Cr,129,2.3 ,13 Feet,South,2.5,1 Cars & 2 Bikes,5.0,5.0,Un-Furnished,,Sampang Chowk, Lalitpur
69,Rs. 1.5 Cr,815,3.1 ,10 Feet,South,1.0,1 Cars & 2 Bikes,2.0,1.0,Un-Furnished,,Danchhi, Kathmandu
70,Rs. 1.68 Cr,207,1.1 ,20 Feet,East,3.5,2 Bikes,3.0,3.0,Un-Furnished,"Parquet,Drainage,Solar,Drinking Water,Reserve Tank,Terrace,Internet,Dining Room,Bed Room,Bathroom,Prayer Room,+ 3 See More",New Baneshwor, Kathmandu
72,Rs. 1.73 Cr,147,3.0 ,5 Feet,South,2.5,1 Cars & 5 Bikes,1.0,1.0,Full-Furnished,,Kadaghari, Kathmandu
73,Rs. 1.25 Cr,135,2.0 ,12 Feet,South-West,2.5,3 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Well,Bed Room,Bathroom,+ 1 See More",Kapan, Kathmandu
74,Rs. 7.7 Cr,286,6.2 ,30 Feet,West,2.5,1 Cars & 1 Bikes,4.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,CC Camera,Drainage,Solar,Garden,Parking,Gazebo,Boring Water,Well,+ 23 See More",Hattigaunda, Kathmandu
75,Rs. 2.2 Cr,266,5.0 ,10 Feet,South,2.5,1 Cars & 4 Bikes,6.0,3.0,Semi-Furnished,"Marbel,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Lawn,Well,Internet,Dining Room,+ 4 See More",Mahadevsthan, Kathmandu
76,Rs. 3.1 Cr,150,3.8.0 ,13 Feet,East,2.5,1 Cars & 1 Bikes,5.0,3.0,Un-Furnished,,Pasikot, Kathmandu
77,Rs. 2.99 Cr,2.1,4.0 ,13 Feet,South-East,2.5,,,,Un-Furnished,,Pasikot, Kathmandu
