title,address,price,land_area,road_access,Facing,bedroom,bathroom,floor,district
House on sale at Bhaisepati near Big Mart.,Talim Kendra Road,85000000,2695.21,33.0,South/East,6.0,5.0,2.5,Kathmandu
"Residential Semi-Furnished 6 BHK Bungalow House is ""𝗙𝗢𝗥 𝗦𝗔𝗟𝗘"" at Balkumari, Imadole.",Balkumari,60000000,3080.25,13.0,East,6.0,6.0,3.5,Lalitpur
"Residential 3.5 Storey House is FOR SALE at Opposite of Army Rehabilitation Center. Nearby Dhungedhara, Banasthali.",Banasthali,34000000,1369.0,13.0,East,6.0,5.0,3.5,Kathmandu
"Luxury Villa For Sale @ Thecho just nearby CG The Villa Housing, Thecho 𝑯𝒆𝒊𝒈𝒉𝒕.",Thecho,85000000,3336.93,16.0,East,6.0,7.0,2.5,Lalitpur
Beautifull 2.5 storied Residential House for Sale At Bhaisepati,Bhaisipati,33500000,1796.81,14.0,North/East,5.0,4.0,2.5,Lalitpur
"Residential 3.5 storey house built on 6 aana 3 paisa ON SALE at Lamathumki, Sitapaila.",Lamathumki,38000000,2310.18,13.0,East,9.0,7.0,3.5,Kathmandu
"Semi-furnished Residential Bungalow House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Kirtipur, Tyanglaphat.",Kritipur,57000000,2566.87,20.0,east,5.0,4.0,2.0,Kathmandu
"Residential Bungalow House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Maharajgunj, Ganesh Basti.(Opposite of Qatar Visa Center) Soldout",Maharajgunj,72500000,3422.5,13.0,North/East,6.0,4.0,2.5,Kathmandu
"Residential 2.5 Storey Ready to MOVE Full-furnished Bungalow House is FOR SALE at Ichangu Narayan, Namgel chowk. Soldout",Ichangu Narayan,31000000,1304.8200000000002,10.0,north,5.0,4.0,2.5,Kathmandu
"The living or corporate business is easy in this impressive, beautiful house located just 600 Meter from Ring Road and just behind to Tennis Court, Madikhatar.",Madikhatar Tennis Court,43500000,2224.62,13.0,North/West,4.0,5.0,3.5,Kathmandu
"7 BHK Semi-Commercial flat system's House is ""FOR SALE"" at Shankhamul, Bagmati Corridor.",Shankhamul,68000000,2566.87,20.0,east and north,7.0,3.0,3.5,Kathmandu
"Residential 3.5 Storey Non-furnished House built in 4 aana is FOR SALE at Budanilkantha, Lower Pasikot.",pasikot,31000000,1369.0,13.0,east/west,5.0,3.0,3.5,Kathmandu
"Newly Built 3.5 storey Full-Furnished house is 'FOR SALE' at Budanilkantha, Umanga Chowk.",umang chowk,44000000,1967.93,27.0,north/east,8.0,7.0,3.5,Kathmandu
"Residential 3 Storey House ""𝐅𝐎𝐑 𝐒𝐀𝐋𝐄"" at Bhaktapur, Suryabinayak, Nearby Araniko Highway.",Sundar Basti Katunje-8,82000000,2074.89,12.0,South/East,13.0,4.0,3.0,Bhaktapur
"Fully wooden furnishing Bungalow House is ""FOR SALE"" at Budanilkantha, Chapali Bhadrakali. Soldout",Chapali Bhadrakali.,61500000,2053.5,13.0,South,5.0,5.0,2.5,Kathmandu
"Semi-Commercial House on Sale at Putalisadak, New plaza Road",Putalisadak,50000000,1369.0,20.0,west,15.0,6.0,3.5,Kathmandu
"Commercial cum Residential 2 Houses with 11 aana 2 paisa land is 𝐅𝐨𝐫 𝐒𝐚𝐥𝐞 at Thulo-Bharyang, Nearby Transportation Office.",Thulo-Bharyang,140000000,3935.87,22.0,East/North,10.0,5.0,3.5,Kathmandu
Residential 5 BHK Semi-Furnished house ON SALE at Mandikatar height.,Mandikatar,40000000,1668.46,13.0,West,5.0,3.0,2.5,Kathmandu
"Residential 5 BHK House On Sale at Budanilkantha, Pasikot.",Upper Pasikot,51000000,2481.31,22.0,south,5.0,6.0,3.5,Kathmandu
"2 storey Residential House built on 5 aana, located at nearby Shemrock School, Gongabu Chowk is for sale.",Gongabu Chowk,37000000,1711.25,10.0,west,4.0,2.0,2.0,Kathmandu
"Residential 3.5 storey house built on 6 aana 3 paisa ON SALE at Lamathumki, Sitapaila.",Lamathumki,38000000,2310.18,13.0,East,9.0,7.0,3.5,Kathmandu
"Full-Furnished Residential House ON SALE at Basundhara, Sundarnagar.",Basundhara,67000000,2481.31,13.0,west,5.0,5.0,2.5,Kathmandu
"Beautiful 3.5 storey house built in 4 anna 3 paisa land is ""FOR SALE"" at Surya Darshan height, Tokha Municipality-03",Surya Darshan height,30000000,1625.68,13.0,west,7.0,4.0,3.5,Kathmandu
"Residential 3 storied House built in 4 aana 2 paisa for sale at Gurjudhara, Matatirtha-6",Gurjudhara,18500000,1540.12,10.0,East,4.0,3.0,3.0,Kathmandu
"Beautiful 5.5 storey 13 BHK house built in 6 anna 1 paisa is for Sale near at Pranjali School, Machhapokhari.",Balaju,59000000,2139.06,20.0,South to East,16.0,18.0,6.5,Kathmandu
"2.5 Storied 4 BHK House on sale at Banasthali, Dhungedhara. Price Rs 2 Crore 95 Lakh only. Soldout",Banasthali,29500000,1026.75,10.0,East,4.0,3.0,2.5,Kathmandu
"Residential 2.5 storey house for sale in Dhapakhel-24, Bhandari Gaun. Soldout",Dhapakhel-24,25000000,1711.25,18.0,East-South,7.0,2.0,2.5,Kathmandu
Residential 2.5 Storied 5 Bhk House Is For Sale At Kalanki. Soldout,Kalanki,33000000,1925.15,13.0,North,5.0,3.0,2.5,Kathmandu
5 BHK Banglow Located At Dhapasi Height With Area Of 13 Aana Is On SALE . Soldout,Dhapashi Height,55000000,4449.25,14.0,North/East,5.0,4.0,2.5,Kathmandu
"2.5 Storey House on sale at Basundhara, EKATA COLONY. Soldout",Basundhara,25500000,1155.09,13.0,North/West,3.0,2.5,5.0,Kathmandu
Residential House located at Nainatole FOR SALE,Nainatole,42000000,2566.87,13.0,North/East,6.0,2.5,3.0,Kathmandu
Bishalnagar residing Bunglow at Sale Soldout,Milap marga,55000000,2139.06,14.0,East,5.0,2.5,4.0,Kathmandu
5 BHK House is on Sale near Hattiban Soldout,Hattiban - 28,29000000,2224.62,22.0,North,5.0,2.5,3.0,Lalitpur
"Residential 2.5 storied 4 BHK House ""FOR SALE"" at Saibu-18",Saibu,30000000,1369.0,15.0,North,4.0,2.5,3.0,Lalitpur
Residential Building For Sale,Nainatole,60000000,3593.62,22.0,North East,5.0,2.5,4.0,Kathmandu
Beautiful House is on Sale at Gothatar. Soldout,Kageshwori Manohara Municipality-08,35000000,1369.0,32.0,East,10.0,3.5,5.0,Kathmandu
