,Floors,City,Address,Land,Price,Bedroom,Bathroom,Face,Road
0,,Kathmandu,Pepsicola,200.0,500000.0,0.0,0.0,south east,0.0
1,12.0,Lalitpur,Jhamsikhel,683.0,40000.0,2.0,1.0,south,0.0
2,2.5, Kathmandu,Golfutar,1779.7,43000000.0,5.0,5.0,east,0.0
3,,Kathmandu,Budhanilkantha,1369.0,35000000.0,0.0,0.0,north east,0.0
4,,Kathmandu,Dhumbarahi,2481.3125,51700000.0,0.0,0.0,east,0.0
5,,Lalitpur,Bhaisepati,1796.8125,150000.0,4.0,4.0,east,0.0
6,,Kathmandu,Thamel,10952.0,1800000.0,43.0,20.0,east,0.0
7,,Kathmandu,Budhanilkantha,10952.0,150000000.0,0.0,0.0,south east,0.0
8,7.0,Kathmandu,Thamel,53.67,95000000.0,0.0,0.0,north west,0.0
9,,Bhaktapur,Nagarkot,2053.5,5550000.0,0.0,0.0,north east,0.0
10,,Kathmandu,Old Baneshwor,1500.0,6000000.0,0.0,0.0,south,0.0
11,,Kathmandu,Thali,1133.703125,15500000.0,0.0,0.0,south east,0.0
12,4.0,Kathmandu,Balkhu,1796.8125,60000000.0,0.0,0.0,south,0.0
13,,Kathmandu,Budhanilkantha,2738.0,45000000.0,0.0,0.0,west,0.0
14,,Lalitpur,Karyabinayak,1369.0,100000.0,4.0,4.0,east,0.0
15,3.0,Kathmandu,Thamel,1369.0,26000000.0,6.0,5.0,east,0.0
16,,Lalitpur,Bhaisepati,1711.25,60000.0,2.0,2.0,east,0.0
17,,Lalitpur,Jawalakhel,10952.0,75000.0,4.0,3.0,east,0.0
18,,Lalitpur,Jawalakhel,1711.25,55000.0,2.0,1.0,east,0.0
19,,Lalitpur,Bhaisepati,2139.0625,75000.0,3.0,3.0,east,0.0
20,, Kathmandu,Baluwatar,10952.0,6400000.0,,,,0.0
21,,Kathmandu,Baluwatar,1800.0,25000000.0,3.0,3.0,south east,0.0
22,,Lalitpur,Bhaisepati,1026.75,30000000.0,4.0,4.0,east,0.0
23,,Lalitpur,Bhaisepati,4791.5,25000.0,2.0,2.0,east,0.0
24,3.0,Kathmandu,Chabahil,1194.7929,31000000.0,8.0,4.0,west,0.0
25,,Kathmandu,Dhumbarahi,1454.5625,20000.0,2.0,1.0,west,0.0
26,,Kathmandu,Thankot,1197.875,25000000.0,0.0,0.0,east,0.0
27,,Kathmandu,Thankot,1369.0,22000000.0,0.0,0.0,east,0.0
28,,Kathmandu,Kalanki,3422.5,62000000.0,7.0,4.0,east,0.0
29,,Kathmandu,Thamel,1200.0,60000.0,2.0,1.0,south,0.0
30,,Lalitpur,Imadol,1200.0,1700000.0,0.0,0.0,south,0.0
31,4.0,Kathmandu,Chabahil,3080.25,57500000.0,0.0,0.0,east,0.0
32,,Lalitpur,Jawalakhel,1711.25,78000.0,4.0,4.0,east,0.0
33,,Kathmandu,Thamel,200.0,2500000.0,0.0,0.0,south east,0.0
34,,Kathmandu,Thali,1240.65625,11000000.0,0.0,0.0,east,0.0
35,,Kathmandu,Thali,1369.0,13000000.0,0.0,0.0,west,0.0
36,,Kathmandu,Gongabu,1711.25,27500000.0,0.0,0.0,east,0.0
37,,Kathmandu,Teku,1369.0,25000.0,0.0,0.0,east,0.0
38,,Kathmandu,Tarkeshwor,855.625,11500000.0,0.0,0.0,east,0.0
39,4.0,Kathmandu,Balaju,1411.78125,45000000.0,12.0,4.0,north,0.0
40,3.0,Kathmandu,Kapan,1197.875,15000000.0,4.0,4.0,west,0.0
41,4.0,Lalitpur,Kupondole,2738.0,95000.0,4.0,2.0,south east,0.0
42,,Kathmandu,Bafal,1026.75,30000000.0,4.0,3.0,east,0.0
43,,Kathmandu,Gaushala,250.0,2000000.0,0.0,0.0,north,0.0
44,,Lalitpur,Hattiban,1369.0,60000.0,4.0,3.0,east,0.0
45,,Kathmandu,Baneshwor,1026.75,35000.0,0.0,0.0,east,0.0
46,1.0,Lalitpur,Kusunti,1000.0,25000.0,2.0,2.0,east,0.0
47,,Kathmandu,Tahachal,1454.5625,27000000.0,3.0,4.0,north,0.0
48,,Kathmandu,Budhanilkantha,2738.0,67500000.0,6.0,0.0,south,0.0
49,,Kathmandu,Tahachal,1454.5625,27000000.0,3.0,4.0,north,0.0
50,,Kathmandu,Budhanilkantha,3080.25,70000000.0,3.0,4.0,north,0.0
51,,Lalitpur,Lalitpur,1369.0,23000000.0,0.0,0.0,east,0.0
52,3.0,Lalitpur,Lalitpur,1197.875,26000000.0,4.0,3.0,east,0.0
53,,Kathmandu,Kalanki,1283.4375,22000000.0,0.0,0.0,west,0.0
