,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
5,31500000.0,"Kuti Galli, माइजु बहल, चाबहिल",0.0,4,6,1369,13.0,chabahil
13,39900000.0,"Budhanilkantha, Kathmandu",0.0,4,6,0,12.0,budhanilkantha
17,27500000.0,"Milijuli Tol, चप्पल कारखाना",0.0,3,4,0,13.0,bansbari
21,16500000.0,"Maulo Gade Pokhari, Chandragiri Municipality, Kathmandu, Bagmati Pradesh, 44618, Nepal",0.0,0,0,855.625,13.0,0
33,13000000.0,"Ranibari (Samakhusi), Kathmandu",0.0,0.0,0.0,1369,5.0,0
35,14000000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",0.0,1.0,1.0,684.5,12.0,Gwarkhu Chowk
38,35000000.0,"Sitapaila, Kathmandu",0.0,4 Attach,6,0,13.0,0
43,20000000.0,"Katunje (Suryabinayak), Bhaktapur",0.0,3,8,1026.75,20.0,suryabinyak
44,25000000.0,"vasundhara, Basundhara, Kathmandu",0.0,0.0,0.0,1026.75,13.0,0
46,12000000.0,"vasundhara, Basundhara, Kathmandu",0.0,0,0,684.5,5.0,0
50,32500000.0,"Kathmandu City, Kathmandu",0.0,4,2,1060.975,12.0,Rectangle
62,16500000.0,"Tarakeshwar, Kathmandu",1.0,2,2,1026.75,13.0,K
63,22000000.0,"Gokarneshwor, Gokarneshwar, काठमाडौं, Bagmati Pradesh, नेपाल",1.0,1,1,1369,20.0,Muktinath Chok
66,10000000.0,"Dhapasi (Tokha), Kathmandu",1.0,1,1,1026.75,5.0,100m
67,9500000.0,"Bisankhunarayan, Godawari, ललितपुर, Bagmati Pradesh, नेपाल",1.0,1.0,2.0,342.25,13.0,Bishankhu narayan temple
71,37500000.0,"dumbarahi, Dhumbarahi, Kathmandu",1.0,1,2,1711.25,13.0,0.5.0
73,17000000.0,"Aakashedhara, Mandikhatar",1.0,1,1,1026.75,13.0,kapan handballground
77,12600000.0,"Makalbari Marg (Ka), Makalbari, Gokarneshwor",1.0,1,2,0,13.0,makalbari
78,58000000.0,"Dhumbarahi Area, Kathmandu",1.0,2,2,2738,12.0,"Toyota service center, S.R. Banquet"
94,16500000.0,"Bhangal (Budhanilkantha) , bangal",1.0,1.0,2.0,1369,13.0,parking avaiable
103,13490000.0,"कागेश्वरी मनोहरा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1.0,2.0,3.0,1369,5.0,"Paanitanky, orchid pupil school najik"
107,6500000.0,Banke (Nepalgunj) > Adarsh Nagar,1.0,2,4,3764.75,8.0,"10 meters inside from the main highway, Adarshnagar, Nepalgunj, Banke."
